property_code,address_1,city,state,zipcode,beds,baths,sqft,market_rent,lat,lng,districtMatch,estimatedPrice
10064060,574 S Joplin St,Aurora,CO,80017,3,2.0,1596,2295.0,39.70518,-104.80328,Adams-Arapahoe 28J School District,373175.0
10064060,574 S Joplin St,Aurora,CO,80017,3,2.0,1596,2490.0,39.70518,-104.80328,Adams-Arapahoe 28J School District,411633.33
10064086,2655 Atchison St,Aurora,CO,80011,3,1.5,1285,2085.0,39.75506,-104.82432,Adams-Arapahoe 28J School District,353966.67
10064107,4642 Malaya St,Denver,CO,80249,3,2.0,1610,2285.0,39.78064,-104.74189,Denver County 1 School District,381666.67
10064108,14531 E Gunnison Pl,Aurora,CO,80012,3,2.5,1868,2545.0,39.68879,-104.81826,Adams-Arapahoe 28J School District,379966.67
10064112,18895 E Utah Cir,Aurora,CO,80017,3,2.0,1602,2445.0,39.68272,-104.76847,Adams-Arapahoe 28J School District,367333.33
10064128,15682 E Colorado Ave,Aurora,CO,80017,3,1.5,1168,1995.0,39.6844,-104.80583,Adams-Arapahoe 28J School District,341666.67
10064134,1205 Bluebird St,Brighton,CO,80601,3,2.0,1470,2325.0,39.9696,-104.83738,Brighton 27J School District,401666.67
10064145,4685 S Buckley Way,Aurora,CO,80015,4,2.0,1692,2548.0,39.63168,-104.79043,Cherry Creek 5 School District,354340.0
10064165,21103 E 45th Ave,Denver,CO,80249,3,2.0,1677,2296.0,39.77863,-104.74134,Denver County 1 School District,385000.0
10064179,5842 S Orleans Way,Centennial,CO,80015,3,2.0,1431,2500.0,39.61056,-104.73639,Cherry Creek 5 School District,451666.67
10064180,240 Bonanza Dr,Erie,CO,80516,4,2.5,1997,2915.0,40.00396,-105.03676,St. Vrain Valley RE 1J School District,676633.33
10064195,4509 Andes St,Denver,CO,80249,3,2.5,1650,2460.0,39.77975,-104.77171,Denver County 1 School District,359633.33
10064210,17306 E Mansfield Ave,Aurora,CO,80013,4,2.0,1569,2675.0,39.64554,-104.78758,Cherry Creek 5 School District,298333.33
10064214,5252 E 111th Pl,Thornton,CO,80233,3,2.0,2230,2850.0,39.89775,-104.92555,Adams 12 Five Star Schools,432966.67
10064246,8485 Prairie Clover Way,Parker,CO,80134,3,2.0,1576,2330.0,39.56301,-104.79547,Douglas County RE 1 School District,391333.33
10064269,13115 Mercury Dr,Littleton,CO,80124,3,2.0,1769,2599.0,39.55175,-104.89382,Douglas County RE 1 School District,474000.0
10064290,2668 Calkins Pl,Broomfield,CO,80020,3,3.5,1974,2585.0,39.92654,-105.01928,Adams 12 Five Star Schools,481459.5
10064296,5677 S Oak St,Littleton,CO,80127,4,2.0,1808,2700.0,39.613,-105.12,Jefferson County R-1 School District,503333.33
10064325,12386 Roslyn Way,Thornton,CO,80602,3,2.5,4198,3385.0,39.92025,-104.89972,Brighton 27J School District,669933.33
10064326,4558 Biscay St,Denver,CO,80249,3,2.0,1799,2385.0,39.7791,-104.76667,Denver County 1 School District,412966.67
10064327,9200 Newton St,Westminster,CO,80031,3,2.0,2262,2745.0,39.86451,-105.03621,Westminster 50 School District,440114.75
10064377,11027 Chesmore St,Highlands Ranch,CO,80130,3,2.5,2626,2925.0,39.51553,-104.94105,Douglas County RE 1 School District,665966.67
10064398,22226 E Oberlin Pl,Aurora,CO,80018,3,2.5,2998,2800.0,39.64165,-104.72837,Cherry Creek 5 School District,456300.0
10064416,8277 Quay Ct,Arvada,CO,80003,4,2.5,2032,2645.0,39.846,-105.073,Jefferson County R-1 School District,473730.0
10064529,9499 Sherrelwood Ln,Highlands Ranch,CO,80126,4,3.0,2049,2650.0,39.54443,-104.97537,Douglas County RE 1 School District,551633.33
10064536,12586 Country Meadows Dr,Parker,CO,80134,3,3.0,1548,2345.0,39.49641,-104.76361,Douglas County RE 1 School District,499966.67
10064580,3280 Queen Ct,Broomfield,CO,80020,3,3.0,1739,2525.0,39.92959,-105.02897,Adams 12 Five Star Schools,438333.33
10064593,6424 W 115th Ave,Westminster,CO,80020,3,2.0,1344,2199.0,39.90394,-105.06804,Jefferson County R-1 School District,448300.0
10064607,13474 Raritan Way,Westminster,CO,80234,3,2.0,1725,2751.0,39.93982,-105.00973,Adams 12 Five Star Schools,505000.0
10064613,11303 Haswell Ct,Parker,CO,80134,4,2.5,1687,2595.0,39.51924,-104.78172,Douglas County RE 1 School District,574633.33
10064617,10820 Utica Ct,Westminster,CO,80031,3,2.0,1509,2550.0,39.89445,-105.04502,Adams 12 Five Star Schools,480000.0
10064633,10414 Strasburg Way,Parker,CO,80134,3,4.0,2104,2770.0,39.52784,-104.7872,Douglas County RE 1 School District,517655.0
