property_code,address_1,city,state,zipcode,beds,baths,sqft,market_rent,lat,lng,point_pair,districtMatch,estimatedPrice,annualTaxes,costofMoney,maintenance,ROI,management
10063380,3804 S Rome Way,Aurora,CO,80018,4,3.0,2349,2785.0,39.64753,-104.73028,"[-104.73028, 39.64753]",Cherry Creek 5 School District,484790.0,2909.0,19391.6,4177.5,4268.300000000003,2673.6
10063789,7375 Braun Way,Arvada,CO,80005,3,3.0,1967,2845.0,39.83056,-105.15157,"[-105.15157, 39.83056]",Jefferson County R-1 School District,530220.0,3181.0,21208.8,4267.5,2751.5,2731.2000000000003
10063940,13157 E Dakota Ave,Aurora,CO,80012,3,2.0,1679,2305.0,39.70836,-104.83612,"[-104.83612, 39.70836]",Adams-Arapahoe 28J School District,411375.0,2468.0,16455.0,3457.5,3066.7000000000007,2212.8
10063957,16166 E Exposition Dr,Aurora,CO,80017,3,2.0,1920,2625.0,39.70348,-104.79943,"[-104.79943, 39.70348]",Adams-Arapahoe 28J School District,389575.0,2337.0,15583.0,3937.5,7122.5,2520.0
10063961,10530 E 10th Ave,Aurora,CO,80010,3,3.0,2240,2590.0,39.73082,-104.86475,"[-104.86475, 39.73082]",Adams-Arapahoe 28J School District,344074.95,2064.0,13763.0,3885.0,8881.599999999999,2486.4
10063963,3591 Morning Glory Dr,Castle Rock,CO,80109,3,2.5,2172,3028.0,39.41661,-104.89987,"[-104.89987, 39.41661]",Douglas County RE 1 School District,492119.95,2953.0,19684.8,4542.0,6249.32,2906.88
10063970,4702 Orleans St,Denver,CO,80249,3,2.5,1709,2490.0,39.7814,-104.73679,"[-104.73679, 39.7814]",Denver County 1 School District,394354.45,2366.0,15774.18,3735.0,5614.419999999998,2390.4
10063975,3625 Fairfax St,Denver,CO,80207,3,1.5,1355,2365.0,39.76798,-104.92849,"[-104.92849, 39.76798]",Denver County 1 School District,472174.95,2833.0,18887.0,3547.5,842.0999999999985,2270.4
10063986,10744 Moore Cir,Westminster,CO,80021,3,1.5,1632,2475.0,39.89202,-105.11254,"[-105.11254, 39.89202]",Jefferson County R-1 School District,423444.95,2541.0,16937.8,3712.5,4132.700000000001,2376.0
10064013,8497 Wild Alfalfa Pl,Parker,CO,80134,4,2.0,1668,2300.0,39.56277,-104.79805,"[-104.79805, 39.56277]",Douglas County RE 1 School District,413828.85,2483.0,16553.15,3450.0,2905.8499999999985,2208.0
10064036,176 Monares Ln,Erie,CO,80516,5,4.0,2645,2899.0,40.04116,-105.0387,"[-105.0387, 40.04116]",St. Vrain Valley RE 1J School District,436944.9,2622.0,17477.8,4348.5,7556.66,2783.04
10064043,3690 Magnolia St,Denver,CO,80207,3,1.0,1544,2165.0,39.76843,-104.91145,"[-104.91145, 39.76843]",Denver County 1 School District,497632.45,2986.0,19905.3,3247.5,-2237.199999999997,2078.4
10064060,574 S Joplin St,Aurora,CO,80017,3,2.0,1596,2490.0,39.70518,-104.80328,"[-104.80328, 39.70518]",Adams-Arapahoe 28J School District,323995.0,1944.0,12959.8,3735.0,8850.800000000003,2390.4
10064086,2655 Atchison St,Aurora,CO,80011,3,1.5,1285,2085.0,39.75506,-104.82432,"[-104.82432, 39.75506]",Adams-Arapahoe 28J School District,363789.5,2183.0,14551.58,3127.5,3156.3199999999997,2001.6000000000001
10064108,14531 E Gunnison Pl,Aurora,CO,80012,3,2.5,1868,2545.0,39.68879,-104.81826,"[-104.81826, 39.68879]",Adams-Arapahoe 28J School District,340004.4,2040.0,13600.18,3817.5,8639.119999999999,2443.2000000000003
10064134,1205 Bluebird St,Brighton,CO,80601,3,2.0,1470,2325.0,39.9696,-104.83738,"[-104.83738, 39.9696]",Brighton 27J School District,380895.0,2285.0,15235.8,3487.5,4659.700000000001,2232.0
10064165,21103 E 45th Ave,Denver,CO,80249,3,2.0,1677,2425.0,39.77863,-104.74134,"[-104.74134, 39.77863]",Denver County 1 School District,377839.4,2267.0,15113.58,3637.5,5753.919999999998,2328.0
10064179,5842 S Orleans Way,Centennial,CO,80015,3,2.0,1431,2500.0,39.61056,-104.73639,"[-104.73639, 39.61056]",Cherry Creek 5 School District,431077.45,2586.0,17243.1,3750.0,4020.9000000000015,2400.0
10064180,240 Bonanza Dr,Erie,CO,80516,4,2.5,1997,2915.0,40.00396,-105.03676,"[-105.03676, 40.00396]",St. Vrain Valley RE 1J School District,485465.0,2913.0,19418.6,4372.5,5477.5,2798.4
10064195,4509 Andes St,Denver,CO,80249,3,2.5,1650,2460.0,39.77975,-104.77171,"[-104.77171, 39.77975]",Denver County 1 School District,397048.8,2382.0,15881.95,3690.0,5204.449999999997,2361.6
10064210,17306 E Mansfield Ave,Aurora,CO,80013,4,2.0,1569,2675.0,39.64554,-104.78758,"[-104.78758, 39.64554]",Cherry Creek 5 School District,293512.5,1761.0,11740.5,4012.5,12018.0,2568.0
10064214,5252 E 111th Pl,Thornton,CO,80233,3,2.0,2230,2850.0,39.89775,-104.92555,"[-104.92555, 39.89775]",Adams 12 Five Star Schools,392698.25,2356.0,15707.93,4275.0,9125.07,2736.0
10064269,13115 Mercury Dr,Littleton,CO,80124,3,2.0,1769,2785.0,39.55175,-104.89382,"[-104.89382, 39.55175]",Douglas County RE 1 School District,577845.0,3467.0,23113.8,4177.5,-11.900000000001455,2673.6
10064296,5677 S Oak St,Littleton,CO,80127,4,2.0,1808,2700.0,39.613,-105.12,"[-105.12, 39.613]",Jefferson County R-1 School District,488194.95,2929.0,19527.8,4050.0,3301.2000000000007,2592.0
10064325,12386 Roslyn Way,Thornton,CO,80602,3,2.5,4198,3385.0,39.92025,-104.89972,"[-104.89972, 39.92025]",Brighton 27J School District,611992.45,3672.0,24479.7,5077.5,4141.199999999997,3249.6
10064326,4558 Biscay St,Denver,CO,80249,3,2.0,1799,2385.0,39.7791,-104.76667,"[-104.76667, 39.7791]",Denver County 1 School District,385880.0,2315.0,15435.2,3577.5,5002.699999999997,2289.6
10064377,11027 Chesmore St,Highlands Ranch,CO,80130,3,2.5,2626,2925.0,39.51553,-104.94105,"[-104.94105, 39.51553]",Douglas County RE 1 School District,762080.0,4572.0,30483.2,4387.5,-7150.699999999997,2808.0
10064529,9499 Sherrelwood Ln,Highlands Ranch,CO,80126,4,3.0,2049,2650.0,39.54443,-104.97537,"[-104.97537, 39.54443]",Douglas County RE 1 School District,466265.0,2798.0,18650.6,3975.0,3832.4000000000015,2544.0
10064580,3280 Queen Ct,Broomfield,CO,80020,3,3.0,1739,2525.0,39.92959,-105.02897,"[-105.02897, 39.92959]",Adams 12 Five Star Schools,421285.0,2528.0,16851.4,3787.5,4709.0999999999985,2424.0
10064613,11303 Haswell Ct,Parker,CO,80134,4,2.5,1687,2595.0,39.51924,-104.78172,"[-104.78172, 39.51924]",Douglas County RE 1 School District,529429.45,3177.0,21177.18,3892.5,402.119999999999,2491.2000000000003
10064617,10820 Utica Ct,Westminster,CO,80031,3,2.0,1509,2615.0,39.89445,-105.04502,"[-105.04502, 39.89445]",Adams 12 Five Star Schools,549990.0,3300.0,21999.6,3922.5,-352.5,2510.4
10064659,13561 Vallejo St,Westminster,CO,80234,3,2.0,1407,2325.0,39.94125,-105.01434,"[-105.01434, 39.94125]",Adams 12 Five Star Schools,482315.0,2894.0,19292.6,3487.5,-6.099999999998545,2232.0
10066807,8697 W 86th Cir,Arvada,CO,80005,4,2.0,924,2340.0,39.854,-105.09,"[-105.09, 39.854]",Jefferson County R-1 School District,342783.65,2057.0,13711.35,3510.0,6555.25,2246.4
