property_code,address_1,city,state,zipcode,beds,baths,sqft,market_rent,lat,lng,districtMatch,estimatedPrice,percentFreeDiscLunch,percentofAfricanAmericanStudents,percentofAsianStudents,percentofHispanicStudents,percentofIndianStudents,percentofPacificIslanderStudents,percentofTwoOrMoreRaceStudents,percentofWhiteStudents,rankMovement
10063072,7279 Dome Rock Rd,Littleton,CO,80125,3,2.0,1897,2866.0,39.46731,-105.07512,Douglas County RE 1 School District,576515.0,10.78,1.29,4.64,13.59,0.41,0.11,5.69,74.28,10.24
10063080,18551 E Tanforan Pl,Aurora,CO,80015,2,2.0,1695,2590.0,39.62965,-104.7736,Cherry Creek 5 School District,384492.45,31.32,10.96,8.53,21.0,0.58,0.26,8.19,50.48,-29.53
10063101,3922 Licorice Ct,Castle Rock,CO,80109,3,3.0,2151,2788.0,39.41599,-104.90481,Douglas County RE 1 School District,504974.95,10.78,1.29,4.64,13.59,0.41,0.11,5.69,74.28,10.24
10063129,13420 W 73rd Ave,Arvada,CO,80005,3,3.0,2267,3220.0,39.8295,-105.14905,Jefferson County R-1 School District,587845.0,37.16,1.45,2.89,26.14,0.62,0.14,4.07,64.7,-23.29
10063139,5361 S Hickory St,Littleton,CO,80120,4,2.0,2250,2700.0,39.61946,-105.00021,Littleton 6 School District,337035.0,20.79,1.46,2.42,19.47,0.35,0.15,4.69,71.45,-15.7
10063142,19106 E Carmel Cir,Aurora,CO,80011,3,3.0,2148,2550.0,39.74906,-104.76429,Adams-Arapahoe 28J School District,393460.0,77.81,16.37,5.28,55.53,0.74,1.07,6.08,14.92,-39.37
10063145,9954 Columbine St,Thornton,CO,80229,5,2.0,2022,2510.0,39.87702,-104.95707,Mapleton 1 School District,421045.0,51.25,0.92,1.49,65.61,0.51,0.1,1.73,9.64,-14.8
10063162,17898 E Arizona Ave,Aurora,CO,80017,2,2.0,2012,2492.0,39.69421,-104.77842,Adams-Arapahoe 28J School District,293327.5,77.81,16.37,5.28,55.53,0.74,1.07,6.08,14.92,-39.37
10063166,21480 E 44th Ave,Denver,CO,80249,3,3.0,1876,2704.0,39.77735,-104.73886,Denver County 1 School District,375984.45,65.04,12.19,2.77,53.59,0.71,0.4,3.71,26.62,-34.32
10063180,8141 Stuart St,Westminster,CO,80031,3,2.0,1802,2497.0,39.84399,-105.04689,Westminster 50 School District,325659.35,80.55,1.94,3.94,74.73,0.68,0.59,2.25,15.88,-19.69
10063181,8011 Stuart Pl,Westminster,CO,80031,3,2.0,1920,2550.0,39.84268,-105.04667,Westminster 50 School District,302114.4,80.55,1.94,3.94,74.73,0.68,0.59,2.25,15.88,-19.69
10063182,2280 Mable Ave,Denver,CO,80229,3,1.0,2450,2195.0,39.84991,-104.9599,Mapleton 1 School District,333903.65,51.25,0.92,1.49,65.61,0.51,0.1,1.73,9.64,-14.8
10063274,19743 E 49th Ave,Denver,CO,80249,2,2.5,1524,2395.0,39.78557,-104.75974,Denver County 1 School District,420535.0,65.04,12.19,2.77,53.59,0.71,0.4,3.71,26.62,-34.32
10063278,6362 Freeport Dr,Highlands Ranch,CO,80130,3,2.0,1882,2595.0,39.55345,-104.9152,Douglas County RE 1 School District,460708.75,10.78,1.29,4.64,13.59,0.41,0.11,5.69,74.28,10.24
10063279,16823 Blue Mist Cir,Parker,CO,80134,3,2.0,2176,2575.0,39.56166,-104.79365,Douglas County RE 1 School District,389095.0,10.78,1.29,4.64,13.59,0.41,0.11,5.69,74.28,10.24
10063283,11798 W Marlowe Ave,Morrison,CO,80465,4,2.5,2404,2933.0,39.632,-105.129,Jefferson County R-1 School District,430457.5,37.16,1.45,2.89,26.14,0.62,0.14,4.07,64.7,-23.29
