property_code,address_1,city,state,zipcode,beds,baths,sqft,market_rent,lat,lng
10068352,9051 Bermuda Run Cir,Highlands Ranch,CO,80130,3,2.0,1322,2450.0,39.55173,-104.91204
10070508,9074 Moon Cir,Thornton,CO,80229,3,1.0,1140,2145.0,39.86093,-104.95744
10071120,9131 Judson St,Westminster,CO,80031,4,2.0,1800,2605.0,39.86246,-105.02907
10072686,9343 W Capri Ave,Littleton,CO,80123,4,3.0,1893,2645.0,39.6064,-105.1029
10072754,9434 Brentwood St,Westminster,CO,80021,3,2.0,1915,2615.0,39.87,-105.09
10073279,9731 W 104th Dr,Westminster,CO,80021,3,2.0,1144,2345.0,39.884,-105.107
10095558,8922 W Radcliffe Pl,Littleton,CO,80123,3,2.0,2026,2600.0,39.63617,-105.09708
10096018,7025 Zenobia St,Westminster,CO,80030,4,2.0,1904,2831.0,39.82508,-105.05287
10096455,5183 E 119th Way,Thornton,CO,80233,3,2.5,1405,2600.0,39.91292,-104.92692
10096530,5120 Troy St,Denver,CO,80239,3,2.0,1864,2300.0,39.78991,-104.84171
10096947,19929 E 47th Dr,Denver,CO,80249,3,2.5,1754,2567.0,39.78309,-104.75736
10110018,3962 S Helena St,Aurora,CO,80013,3,3.0,1900,2700.0,39.64402,-104.80711
10110154,11039 Grange Creek Dr,Thornton,CO,80233,4,2.0,1885,2845.0,39.89594,-104.92393
10110158,5431 S Genoa St,Centennial,CO,80015,4,3.5,2185,2800.0,39.617647,-104.757882
10110322,3813 S Ceylon Way,Aurora,CO,80013,4,2.0,1814,2495.0,39.64733,-104.76226
10110346,5722 S Netherland St,Centennial,CO,80015,5,2.0,2314,2810.0,39.61273,-104.73871
10110559,11062 Wolff Way,Westminster,CO,80031,3,2.5,2142,2845.0,39.8973,-105.04747
10110567,3604 S Flanders St,Aurora,CO,80013,4,2.0,1862,2585.0,39.65063,-104.75707
10110597,1965 Rosemary St,Denver,CO,80220,3,2.0,1463,2585.0,39.74659,-104.90021
10111139,16265 E Hamilton Pl,Aurora,CO,80013,4,2.0,2048,2775.0,39.65399,-104.79861
10111186,3770 S Jebel Way,Aurora,CO,80013,4,2.5,2182,2699.0,39.64782,-104.75018
10111211,3674 S Cathay St,Aurora,CO,80013,3,2.5,1826,2525.0,39.64894,-104.76544
10111507,5770 S Orleans St,Centennial,CO,80015,4,2.0,1858,2742.0,39.61092,-104.73749
10111548,4618 S Joplin Way,Aurora,CO,80015,4,2.5,1836,2544.0,39.6328,-104.80363
10111591,4797 S Quintero St,Aurora,CO,80015,4,2.5,1585,2525.0,39.62973,-104.78688
10111634,5202 E 119th Ct,Thornton,CO,80233,3,2.25,1405,2429.0,39.91321,-104.92593
