,address,city,zip,beds,baths,sqft,listPrice,taxes,hoaFees,hoaFreq,lat,lng,district,elementarySchool,middleSchool,highSchool
85,13654 W Auburn Avenue,Lakewood,80228,4.0,3.0,"2,565",695000,"$2,566",$0,N/A,39.67398377,-105.15298205,Jefferson County R-1,Rooney Ranch,Dunstan,Green Mountain
86,21036 E Radcliff Place,Aurora,80013,4.0,4.0,"2,752",691826,$0,$80,Monthly,39.63635846,-104.74382474,Cherry Creek 5,Mountain Vista,Sky Vista,Eaglecrest
87,10850 W 41st Avenue,Wheat Ridge,80033,4.0,2.0,"1,829",690000,"$1,737",$0,N/A,39.77226672,-105.11976495,Jefferson County R-1,Prospect Valley,Everitt,Wheat Ridge
88,1151 Revere Street,Aurora,80011,3.0,2.0,"2,257",690000,"$2,106",$0,N/A,39.73411167,-104.84326917,Adams-Arapahoe 28J,Vaughn,South,Aurora Central
89,4662 S Quitman Street,Denver,80236,4.0,3.0,"3,437",690000,"$2,135",$0,N/A,39.6323382,-105.04234797,Denver 1,Kaiser,Bear Valley International,John F. Kennedy
90,2601 S Quebec Street Unit 19,Denver,80231,3.0,4.0,"3,844",690000,"$1,633",$500,Monthly,39.67050666,-104.90603615,Denver 1,Joe Shoemaker,Hamilton,Thomas Jefferson
91,2368 E Floyd Place,Englewood,80113,4.0,4.0,"2,094",690000,"$2,460",$0,N/A,39.65580508,-104.9599885,Cherry Creek 5,Cherry Hills Village,West,Cherry Creek
92,2822 S Uinta Street,Denver,80231,3.0,3.0,"2,771",689970,"$1,701",$0,N/A,39.66602352,-104.89326005,Denver 1,Joe Shoemaker,Hamilton,Thomas Jefferson
93,1011 S Valentia Street Unit 81,Denver,80247,4.0,4.0,"3,030",689900,"$2,597",$350,Monthly,39.6986819,-104.89419061,Denver 1,Denver Green,Denver Green,George Washington
94,4902 W Oxford Avenue,Denver,80237,4.0,3.0,"3,264",689000,"$2,114",$30,Annually,39.64301734,-105.05000048,Denver 1,Kaiser,Henry,John F. Kennedy
95,1573 S Lincoln Street,Denver,80210,3.0,2.0,"1,788",689000,"$2,888",$0,N/A,39.68808679,-104.98651751,Denver 1,McKinley-Thatcher,Grant,South
96,2698 S Depew Place,Lakewood,80227,5.0,3.0,"3,562",689000,"$3,944",$0,N/A,39.66792598,-105.05761536,Jefferson County R-1,Westgate,Carmody,Bear Creek
97,1540 S Pierce Street,Lakewood,80232,6.0,5.0,"3,512",689000,"$2,016",$0,N/A,39.6889329,-105.07179296,Jefferson County R-1,Lasley,Alameda Int'l,Alameda Int'l
