schoolid,schoolName,lowGrade,highGrade,schoolLevel,rankMovement,hasBoundary,street,city,state,zip,zip4,latitude,longitude,countyName,districtName,index,numberOfStudents,percentFreeDiscLunch,percentofAfricanAmericanStudents,percentofAsianStudents,percentofHispanicStudents,percentofWhiteStudents,percentofIndianStudents,percentofPacificIslanderStudents,percentofTwoOrMoreRaceStudents,pupilTeacherRatio,year
80291001672,Falcon Creek Middle School,6,8,Middle,2.0,True,6100 South Genoa Street,Aurora,CO,80016,1288,39.606,-104.7557,Arapahoe County,Cherry Creek School District No. 5,221,880.0,26.25,7.05,8.52,16.93,58.18,1.14,0.34,7.84,18.2,2020.0
80690001176,Federal Heights Elementary School,PK,5,Elementary,-4.0,True,2500 W 96th Avenue,Denver,CO,80221,5701,39.8703,-105.0169,Adams County,Adams 12 Five Star Schools,222,502.0,87.45,0.0,0.8,93.23,5.58,0.0,0.0,0.4,16.3,2020.0
80531000877,Field Elementary School,K,5,Elementary,-45.0,True,5402 South Sherman Way,Littleton,CO,80121,1000,39.6188,-104.9825,Arapahoe County,Littleton School District No. 6,223,292.0,78.08,5.48,1.03,59.59,28.77,1.71,0.34,3.08,9.3,2020.0
80249006154,Fireside Elementary School,PK,5,Elementary,2.0,True,845 West Dahlia,Louisville,CO,80027,9585,39.9693,-105.1576,Boulder County,Boulder Valley School District No. Re2,224,484.0,10.54,0.41,4.13,10.74,77.69,0.0,0.21,6.82,17.3,2020.0
80249000115,Flatirons Elementary School,K,5,Elementary,-72.0,True,1150 7th Street,Boulder,CO,80302,6906,40.0083,-105.2851,Boulder County,Boulder Valley School District No. Re2,226,211.0,11.37,0.95,1.9,1.9,91.0,0.0,0.0,4.27,16.5,2020.0
80336001575,Florence Crittenton High School,9,12,High,21.0,False,55 South Zuni,Denver,CO,80223,1209,39.715396,-105.016087,Denver County,School District No. 1,227,105.0,89.52,8.57,0.95,84.76,4.76,0.0,0.0,0.95,9.1,2020.0
80336001933,Florida Pitt-Waller Ece-8 School,PK,8,Elementary,-31.0,True,21601 East 51st Place,Denver,CO,80249,8647,39.7899,-104.7366,Denver County,School District No. 1,228,845.0,80.71,29.47,5.09,53.25,6.63,0.59,2.25,2.72,17.7,2020.0
80249000116,Foothill Elementary School,K,5,Elementary,-27.0,True,1001 Hawthorne Avenue,Boulder,CO,80304,2145,40.0356,-105.2842,Boulder County,Boulder Valley School District No. Re2,229,457.0,10.07,0.22,0.66,8.75,83.81,0.88,0.0,5.69,18.4,2020.0
80480000724,Foothills Elementary School,PK,5,Elementary,-80.0,True,13165 West Ohio Avenue,Lakewood,CO,80228,3114,39.7031,-105.1466,Jefferson County,Jefferson County School District No. R-1,230,293.0,66.89,3.07,1.37,35.84,50.51,3.41,0.0,5.8,15.8,2020.0
80336000349,Force Elementary School,PK,5,Elementary,61.0,True,1550 South Wolff Street,Denver,CO,80219,4353,39.689,-105.0476,Denver County,School District No. 1,231,392.0,92.35,0.77,2.55,88.78,5.87,0.77,0.51,0.77,14.1,2020.0
80654001135,Fort Logan Northgate,3,8,Middle,-111.0,True,4000 S. Lowell Blvd.,Denver,CO,80236,4316,39.644751,-105.033319,Arapahoe County,Sheridan School District No. 2,232,541.0,93.72,3.7,2.03,78.0,12.38,0.92,0.18,2.77,15.4,2020.0
80480000725,Foster Dual Language Pk-8,PK,8,Elementary,-74.0,True,5300 Saulsbury Court,Arvada,CO,80002,3744,39.7931,-105.0764,Jefferson County,Jefferson County School District No. R-1,233,453.0,60.71,1.1,0.22,66.23,28.48,0.0,0.0,3.97,16.5,2020.0
80345001275,Fox Creek Elementary School,PK,6,Elementary,49.0,True,6585 Collegiate Drive,Highlands Ranch,CO,80130,5331,39.5477,-104.9122,Douglas County,Douglas County School District No. Re 1,234,528.0,11.74,1.14,4.73,12.31,73.86,0.57,0.0,7.39,18.1,2020.0
80291001710,Fox Hollow Elementary School,PK,5,Elementary,-38.0,True,6363 South Waco Street,Aurora,CO,80116,1098,39.6015,-104.7828,Arapahoe County,Cherry Creek School District No. 5,235,657.0,17.96,7.0,13.85,14.61,57.08,0.61,0.0,6.85,16.9,2020.0
80291006367,Fox Ridge Middle School,6,8,Middle,-3.0,True,26301 East Arapahoe Road,Aurora,CO,80016,1809,39.5908,-104.6806,Arapahoe County,Cherry Creek School District No. 5,236,1085.0,8.57,4.79,7.74,14.93,64.33,0.74,0.0,7.47,20.2,2020.0
80531000878,Franklin Elementary School,K,5,Elementary,-5.0,True,1603 East Euclid Ave,Centennial,CO,80121,2701,39.6002,-104.9693,Arapahoe County,Littleton School District No. 6,237,579.0,7.43,0.69,2.25,10.19,81.69,0.17,0.35,4.66,16.7,2020.0
80480001920,Free Horizon Montessori,PK,8,Elementary,51.0,False,15920 W 10th Ave,Golden,CO,80401,5615,39.72,-105.1905,Jefferson County,Jefferson County School District No. R-1,238,457.0,19.04,0.66,1.53,9.19,83.37,0.0,0.0,5.25,18.8,2020.0
80480000726,Fremont Elementary School,K,5,Elementary,155.0,True,6420 Urban,Arvada,CO,80004,2486,39.8134,-105.1322,Jefferson County,Jefferson County School District No. R-1,239,197.0,43.65,0.51,1.52,22.84,70.05,2.54,0.0,2.54,12.9,2020.0
80345001875,Frontier Valley Elementary School,PK,5,Elementary,-124.0,True,23919 East Canterberry Trail,Parker,CO,80138,8486,39.5021,-104.7145,Douglas County,Douglas County School District No. Re 1,240,488.0,6.76,1.23,0.82,12.09,78.89,0.2,0.2,6.56,16.3,2020.0
80234000062,Fulton Academy Of Excellence,PK,5,Elementary,-82.0,True,755 Fulton St,Aurora,CO,80010,3913,39.7285,-104.8711,Arapahoe County,Aurora Joint District No. 28,241,432.0,93.29,12.73,4.4,70.37,6.48,0.93,1.62,3.47,18.5,2020.0
80336000351,Garden Place Academy,PK,6,Elementary,-255.0,True,4425 Lincoln Street,Denver,CO,80216,3520,39.7768,-104.9865,Denver County,School District No. 1,242,358.0,86.31,5.87,0.0,83.52,6.98,0.56,0.0,3.07,14.5,2020.0
80234000063,Gateway High School,9,12,High,-23.0,True,1300 South Sable Blvd,Aurora,CO,80012,4631,39.6936,-104.8171,Arapahoe County,Aurora Joint District No. 28,243,1511.0,72.73,19.99,4.17,57.71,11.52,0.86,1.52,4.24,18.1,2020.0
80336000352,George Washington High School,9,12,High,23.0,True,655 South Monaco Pkwy,Denver,CO,80224,1228,39.7057,-104.9149,Denver County,School District No. 1,244,1188.0,47.22,22.39,4.88,28.79,37.79,0.42,0.17,5.56,17.8,2020.0
